HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Czech Republic,Panama,2007,2,1,3
Argentina,North Korea,2007,1,0,1
Japan,Scotland,2007,3,1,4
Nigeria,Costa Rica,2007,1,0,1
Costa Rica,Japan,2007,0,1,1
Scotland,Nigeria,2007,0,2,2
Japan,Nigeria,2007,0,0,0
Scotland,Costa Rica,2007,1,2,3
Austria,Gambia,2007,2,1,3
United States,Uruguay,2007,2,1,3
Spain,Brazil,2007,4,2,6
Japan,Czech Republic,2007,2,2,4
Zambia,Nigeria,2007,1,2,3
Argentina,Poland,2007,3,1,4
Chile,Portugal,2007,1,0,1
Mexico,Congo,2007,3,0,3
Austria,United States,2007,2,1,3
Spain,Czech Republic,2007,1,1,2
Chile,Nigeria,2007,4,0,4
Argentina,Mexico,2007,1,0,1
Austria,Czech Republic,2007,0,2,2
Chile,Argentina,2007,0,3,3
Austria,Chile,2007,0,1,1
Czech Republic,Argentina,2007,1,2,3
Egypt,Trinidad and Tobago,2009,4,1,5
Paraguay,Italy,2009,0,0,0
Italy,Trinidad and Tobago,2009,2,1,3
Egypt,Paraguay,2009,1,2,3
Trinidad and Tobago,Paraguay,2009,0,0,0
Italy,Egypt,2009,2,4,6
Nigeria,Venezuela,2009,0,1,1
Spain,Tahiti,2009,8,0,8
Nigeria,Spain,2009,0,2,2
Tahiti,Venezuela,2009,0,8,8
Venezuela,Spain,2009,0,3,3
Tahiti,Nigeria,2009,0,5,5
United States,Germany,2009,0,3,3
Cameroon,South Korea,2009,2,0,2
South Korea,Germany,2009,1,1,2
United States,Cameroon,2009,4,1,5
Germany,Cameroon,2009,3,0,3
South Korea,United States,2009,3,0,3
Ghana,Uzbekistan,2009,2,1,3
England,Uruguay,2009,0,1,1
Uruguay,Uzbekistan,2009,3,0,3
Ghana,England,2009,4,0,4
Uruguay,Ghana,2009,2,2,4
Uzbekistan,England,2009,1,1,2
Brazil,Costa Rica,2009,5,0,5
Czech Republic,Australia,2009,2,1,3
Australia,Costa Rica,2009,0,3,3
Brazil,Czech Republic,2009,0,0,0
Costa Rica,Czech Republic,2009,2,3,5
Australia,Brazil,2009,1,3,4
United Arab Emirates,South Africa,2009,2,2,4
Honduras,Hungary,2009,3,0,3
Hungary,South Africa,2009,4,0,4
United Arab Emirates,Honduras,2009,1,0,1
Hungary,United Arab Emirates,2009,2,0,2
South Africa,Honduras,2009,2,0,2
Spain,Italy,2009,1,3,4
Paraguay,South Korea,2009,0,3,3
Ghana,South Africa,2009,2,1,3
Egypt,Costa Rica,2009,0,2,2
Hungary,Czech Republic,2009,2,2,4
Brazil,Uruguay,2009,3,1,4
Venezuela,United Arab Emirates,2009,1,2,3
Germany,Nigeria,2009,3,2,5
South Korea,Ghana,2009,2,3,5
Italy,Hungary,2009,2,3,5
Brazil,Germany,2009,2,1,3
United Arab Emirates,Costa Rica,2009,1,2,3
Ghana,Hungary,2009,3,2,5
Brazil,Costa Rica,2009,1,0,1
Hungary,Costa Rica,2009,1,1,2
Ghana,Brazil,2009,0,0,0
Mali,South Korea,2011,0,2,2
Colombia,France,2011,4,1,5
France,South Korea,2011,3,1,4
Colombia,Mali,2011,2,0,2
France,Mali,2011,2,0,2
Colombia,South Korea,2011,1,0,1
Cameroon,New Zealand,2011,1,1,2
Portugal,Uruguay,2011,0,0,0
Uruguay,New Zealand,2011,1,1,2
Portugal,Cameroon,2011,1,0,1
Portugal,New Zealand,2011,1,0,1
Uruguay,Cameroon,2011,0,1,1
Costa Rica,Spain,2011,1,4,5
Australia,Ecuador,2011,1,1,2
Ecuador,Spain,2011,0,2,2
Australia,Costa Rica,2011,2,3,5
Ecuador,Costa Rica,2011,3,0,3
Australia,Spain,2011,1,5,6
Nigeria,Guatemala,2011,5,0,5
Croatia,Saudi Arabia,2011,0,2,2
Saudi Arabia,Guatemala,2011,6,0,6
Croatia,Nigeria,2011,2,5,7
Saudi Arabia,Nigeria,2011,0,2,2
Croatia,Guatemala,2011,0,1,1
Austria,Panama,2011,0,0,0
Brazil,Egypt,2011,1,1,2
Egypt,Panama,2011,1,0,1
Brazil,Austria,2011,3,0,3
Brazil,Panama,2011,4,0,4
Egypt,Austria,2011,4,0,4
England,North Korea,2011,0,0,0
Argentina,Mexico,2011,1,0,1
Mexico,North Korea,2011,3,0,3
Argentina,England,2011,0,0,0
Mexico,England,2011,0,0,0
Argentina,North Korea,2011,3,0,3
Portugal,Guatemala,2011,1,0,1
Argentina,Egypt,2011,2,1,3
Cameroon,Mexico,2011,1,1,2
