Home,Score,Away,year
Australia ,0–1, United Arab Emirates,2003
Republic of Ireland ,2–3 (a.e.t.), Colombia,2003
Canada ,1–2 (a.e.t.), Spain,2003
Colombia ,1–0, United Arab Emirates,2003
United States ,1–2 (a.e.t.), Argentina,2003
Japan ,1–5, Brazil,2003
Brazil ,1–0, Argentina,2003
Spain ,1–0, Colombia,2003
Colombia ,2–1, Argentina,2003
Spain ,0–1, Brazil,2003
Benin ,1–1, Australia,2005
Netherlands ,2–1, Japan,2005
Japan ,1–1, Benin,2005
Australia ,0–3, Netherlands,2005
Japan ,1–1, Australia,2005
Netherlands ,1–0, Benin,2005
Turkey ,1–2, China,2005
Ukraine ,3–1, Panama,2005
China ,3–2, Ukraine,2005
Panama ,0–1, Turkey,2005
Turkey ,2–2, Ukraine,2005
China ,4–1, Panama,2005
Spain ,3–1, Morocco,2005
Honduras ,0–7, Chile,2005
Morocco ,5–0, Honduras,2005
Chile ,0–7, Spain,2005
Spain ,3–0, Honduras,2005
Morocco ,1–0, Chile,2005
Argentina ,0–1, United States,2005
Germany ,2–0, Egypt,2005
Egypt ,0–2, Argentina,2005
United States ,0–0, Germany,2005
Argentina ,1–0, Germany,2005
United States ,1–0, Egypt,2005
Colombia ,2–0, Italy,2005
Syria ,1–1, Canada,2005
Canada ,0–2, Colombia,2005
Italy ,1–2, Syria,2005
Italy ,4–1, Canada,2005
Colombia ,2–0, Syria,2005
Brazil ,0–0, Nigeria,2005
South Korea ,1–2,  Switzerland,2005
Switzerland ,0–1, Brazil,2005
Nigeria ,1–2, South Korea,2005
Brazil ,2–0, South Korea,2005
Nigeria ,3–0,  Switzerland,2005
United States ,1–3, Italy,2005
China ,2–3, Germany,2005
Morocco ,1–0, Japan,2005
Brazil ,1–0, Syria,2005
Nigeria ,1–0, Ukraine,2005
Colombia ,1–2, Argentina,2005
Netherlands ,3–0, Chile,2005
Spain ,3–0, Turkey,2005
Morocco ,2–2 (a.e.t.), Italy,2005
Germany ,1–2 (a.e.t.), Brazil,2005
Nigeria ,1–1 (a.e.t.), Netherlands,2005
Argentina ,3–1, Spain,2005
Brazil ,1–2, Argentina,2005
Morocco ,0–3, Nigeria,2005
Brazil ,2–1, Morocco,2005
Argentina ,2–1, Nigeria,2005
Canada ,0–3, Chile,2007
Congo ,1–1, Austria,2007
Austria ,1–0, Canada,2007
Chile ,3–0, Congo,2007
Canada ,0–2, Congo,2007
Chile ,0–0, Austria,2007
Jordan ,1–1, Zambia,2007
Spain ,2–2, Uruguay,2007
Uruguay ,1–0, Jordan,2007
Zambia ,1–2, Spain,2007
Spain ,4–2, Jordan,2007
Uruguay ,0–2, Zambia,2007
Portugal ,2–0, New Zealand,2007
Gambia ,0–3, Mexico,2007
New Zealand ,0–1, Gambia,2007
Mexico ,2–1, Portugal,2007
Portugal ,1–2, Gambia,2007
New Zealand ,1–2, Mexico,2007
Poland ,1–0, Brazil,2007
South Korea ,1–1, United States,2007
United States ,6–1, Poland,2007
Brazil ,3–2, South Korea,2007
Brazil ,1–2, United States,2007
Poland ,1–1, South Korea,2007
North Korea ,0–0, Panama,2007
Argentina ,0–0, Czech Republic,2007
Czech Republic ,2–2, North Korea,2007
Panama ,0–6, Argentina,2007
Czech Republic ,2–1, Panama,2007
Argentina ,1–0, North Korea,2007
Japan ,3–1, Scotland,2007
Nigeria ,1–0, Costa Rica,2007
Costa Rica ,0–1, Japan,2007
Scotland ,0–2, Nigeria,2007
Japan ,0–0, Nigeria,2007
Scotland ,1–2, Costa Rica,2007
Austria ,2–1, Gambia,2007
United States ,2–1 (a.e.t.), Uruguay,2007
Spain ,4–2 (a.e.t.), Brazil,2007
Japan ,2–2 (a.e.t.), Czech Republic,2007
Zambia ,1–2, Nigeria,2007
Argentina ,3–1, Poland,2007
Chile ,1–0, Portugal,2007
Mexico ,3–0, Congo,2007
Austria ,2–1 (a.e.t.), United States,2007
Spain ,1–1 (a.e.t.), Czech Republic,2007
Chile ,4–0 (a.e.t.), Nigeria,2007
Argentina ,1–0, Mexico,2007
Austria ,0–2, Czech Republic,2007
Chile ,0–3, Argentina,2007
Austria ,0–1, Chile,2007
Czech Republic ,1–2, Argentina,2007
Egypt ,4–1, Trinidad and Tobago,2009
Paraguay ,0–0, Italy,2009
Italy ,2–1, Trinidad and Tobago,2009
Egypt ,1–2, Paraguay,2009
Trinidad and Tobago ,0–0, Paraguay,2009
Italy ,2–4, Egypt,2009
Nigeria ,0–1, Venezuela,2009
Spain ,8–0, Tahiti,2009
Nigeria ,0–2, Spain,2009
Tahiti ,0–8, Venezuela,2009
Venezuela ,0–3, Spain,2009
Tahiti ,0–5, Nigeria,2009
United States ,0–3, Germany,2009
Cameroon ,2–0, South Korea,2009
South Korea ,1–1, Germany,2009
United States ,4–1, Cameroon,2009
Germany ,3–0, Cameroon,2009
South Korea ,3–0, United States,2009
Ghana ,2–1, Uzbekistan,2009
England ,0–1, Uruguay,2009
Uruguay ,3–0, Uzbekistan,2009
Ghana ,4–0, England,2009
Uruguay ,2–2, Ghana,2009
Uzbekistan ,1–1, England,2009
Brazil ,5–0, Costa Rica,2009
Czech Republic ,2–1, Australia,2009
Australia ,0–3, Costa Rica,2009
Brazil ,0–0, Czech Republic,2009
Costa Rica ,2–3, Czech Republic,2009
Australia ,1–3, Brazil,2009
United Arab Emirates ,2–2, South Africa,2009
Honduras ,3–0, Hungary,2009
Hungary ,4–0, South Africa,2009
United Arab Emirates ,1–0, Honduras,2009
Hungary ,2–0, United Arab Emirates,2009
South Africa ,2–0, Honduras,2009
Spain ,1 – 3, Italy,2009
Paraguay ,0 – 3, South Korea,2009
Ghana ,2 – 1 (a.e.t.), South Africa,2009
Egypt ,0 – 2, Costa Rica,2009
Hungary ,2 – 2 (a.e.t.), Czech Republic,2009
Brazil ,3 – 1, Uruguay,2009
Venezuela ,1 – 2, United Arab Emirates,2009
Germany ,3 – 2, Nigeria,2009
South Korea ,2 – 3, Ghana,2009
Italy ,2 – 3 (a.e.t.), Hungary,2009
Brazil ,2 – 1 (a.e.t.), Germany,2009
United Arab Emirates ,1 – 2 (a.e.t.), Costa Rica,2009
Ghana ,3 – 2, Hungary,2009
Brazil ,1 – 0, Costa Rica,2009
Hungary ,1 – 1, Costa Rica,2009
Ghana ,0 – 0 (a.e.t.), Brazil,2009
Mali ,0–2, South Korea,2011
Colombia ,4–1, France,2011
France ,3–1, South Korea,2011
Colombia ,2–0, Mali,2011
France ,2–0, Mali,2011
Colombia ,1–0, South Korea,2011
Cameroon ,1–1, New Zealand,2011
Portugal ,0–0, Uruguay,2011
